,Date,Open,High,Low,Nilai Tukar
0,2023-01-02,8575.0,8600.0,8500.0,15508.799805
1,2023-01-03,8550.0,8600.0,8525.0,15550.0
2,2023-01-04,8525.0,8575.0,8350.0,15571.799805
3,2023-01-05,8350.0,8375.0,8150.0,15560.0
4,2023-01-06,8100.0,8325.0,8100.0,15620.0
5,2023-01-09,8325.0,8450.0,8325.0,15602.299805
6,2023-01-10,8400.0,8425.0,8150.0,15580.0
7,2023-01-11,8050.0,8150.0,8000.0,15528.900391
8,2023-01-12,8150.0,8275.0,8125.0,15414.0
9,2023-01-13,8150.0,8175.0,8025.0,15172.0
10,2023-01-16,8050.0,8200.0,8050.0,15114.799805
11,2023-01-17,8175.0,8375.0,8150.0,15082.0
12,2023-01-18,8200.0,8325.0,8175.0,15162.0
13,2023-01-19,8350.0,8350.0,8250.0,15096.0
14,2023-01-20,8275.0,8325.0,8250.0,15141.0
15,2023-01-24,8300.0,8350.0,8225.0,15007.0
16,2023-01-25,8300.0,8300.0,8200.0,14955.5
17,2023-01-26,8225.0,8475.0,8225.0,14938.700195
18,2023-01-27,8700.0,8850.0,8550.0,14942.5
19,2023-01-30,8725.0,8775.0,8575.0,14970.400391
20,2023-01-31,8625.0,8675.0,8475.0,14995.0
21,2023-02-01,8575.0,8575.0,8450.0,14990.700195
22,2023-02-02,8425.0,8525.0,8400.0,14855.0
23,2023-02-03,8550.0,8700.0,8500.0,14881.0
24,2023-02-06,8750.0,8750.0,8650.0,15078.799805
25,2023-02-07,8775.0,8850.0,8750.0,15200.0
26,2023-02-08,8825.0,8850.0,8800.0,15147.0
27,2023-02-09,8825.0,8900.0,8800.0,15117.0
28,2023-02-10,8875.0,8900.0,8700.0,15140.0
29,2023-02-13,8875.0,8900.0,8775.0,15182.200195
